service_id,date,exception_type
4_I12,20170320,2
4_I12,20170414,2
4_I12,20170502,2
4_I12,20170515,2
4_I12,20170815,2
4_I12,20171101,2
4_I12,20171109,2
4_I12,20170106,2
4_I12,20170501,2
4_I12,20171208,2
4_I12,20171225,2
4_I12,20170413,2
4_I12,20171012,2
4_I12,20171206,2
4_I13,20170413,1
4_I13,20170501,1
4_I13,20171109,1
4_I13,20171225,1
4_I13,20171206,1
4_I13,20170320,1
4_I13,20170414,1
4_I13,20171208,1
4_I13,20170502,1
4_I13,20170815,1
4_I13,20170106,1
4_I13,20170515,1
4_I13,20171012,1
4_I13,20171101,1
4_I14,20171012,2
4_I14,20170106,2
4_I14,20170501,2
4_I14,20170515,2
4_I14,20171109,2
4_I14,20170320,2
4_I14,20171206,2
4_I14,20170414,2
4_I14,20170502,2
4_I14,20170815,2
4_I14,20171101,2
4_I14,20170413,2
4_I14,20171208,2
4_I14,20171225,2
4_I15,20170501,2
4_I15,20170106,2
4_I15,20170414,2
4_I15,20170515,2
4_I15,20170815,2
4_I15,20170502,2
4_I15,20171206,2
4_I15,20171101,2
4_I15,20171225,2
4_I15,20171208,2
4_I15,20170320,2
4_I15,20170413,2
4_I15,20171109,2
4_I15,20171012,2
4_I16,20170414,1
4_I16,20170815,1
4_I16,20171208,1
4_I16,20171225,1
4_I16,20170413,1
4_I16,20170501,1
4_I16,20171012,1
4_I16,20171101,1
4_I16,20170106,1
4_I16,20170320,1
4_I16,20170502,1
4_I16,20171109,1
4_I16,20171206,1
4_I16,20170515,1
